SRR15311258,SAMN19652394
SRR15311259,SAMN19654002
SRR15311260,SAMN19654003
SRR15311261,SAMN19654013
SRR15311262,SAMN19654014
SRR15311263,SAMN19654015
SRR15311264,SAMN19654016
SRR15311265,SAMN19654017
SRR15311266,SAMN19654018
SRR15311267,SAMN19654019
SRR15311268,SAMN19654020
SRR15311269,SAMN19653580
SRR15311270,SAMN19654021
SRR15311271,SAMN19654029
SRR15311272,SAMN19663684
SRR15311273,SAMN19663691
SRR15311274,SAMN19663692
SRR15311275,SAMN19653582
SRR15311276,SAMN19653583
SRR15311277,SAMN19653584
SRR15311278,SAMN19653585
SRR15311279,SAMN19653586
SRR15311280,SAMN19653757
SRR15311281,SAMN19652248
SRR1531418,SAMN02944889
SRR1531419,SAMN02944890
SRR1531420,SAMN02944891
SRR1531421,SAMN02944892
SRR1531422,SAMN02944893
SRR1531423,SAMN02944894
SRR1531424,SAMN02944895
SRR1531425,SAMN02944896
SRR1531426,SAMN02944897
SRR1531427,SAMN02944898
SRR1531428,SAMN02944899
SRR1531429,SAMN02944900
SRR15367974,SAMN20525664
SRR15367976,SAMN20525663
SRR15367977,SAMN20525649
SRR15367978,SAMN20525648
SRR15367979,SAMN20525652
SRR15367990,SAMN20525651
SRR15367999,SAMN20525647
SRR15368000,SAMN20525646
SRR15368001,SAMN20525650
SRR15368002,SAMN20525561
SRR15368003,SAMN20525560
SRR15368004,SAMN20525559
SRR15368005,SAMN20525558
SRR15368006,SAMN20525557
SRR15368007,SAMN20525556
SRR15368008,SAMN20525555
SRR15368009,SAMN20525553
SRR15368010,SAMN20525662
SRR15368011,SAMN20525661
SRR15368012,SAMN20525660
SRR15368013,SAMN20525659
SRR15368020,SAMN20525653
SRR15376285,SAMN20475806
SRR15376286,SAMN20475805
SRR15376287,SAMN20475805
SRR15376288,SAMN20475805
SRR15376289,SAMN20475804
SRR15376290,SAMN20475804
SRR15376291,SAMN20475804
SRR15376292,SAMN20475810
SRR15376293,SAMN20475810
SRR15376294,SAMN20475810
SRR15376295,SAMN20475809
SRR15376296,SAMN20475803
SRR15376297,SAMN20475809
SRR15376298,SAMN20475809
SRR15376299,SAMN20475808
SRR15376300,SAMN20475808
SRR15376301,SAMN20475808
SRR15376302,SAMN20475807
SRR15376303,SAMN20475807
SRR15376304,SAMN20475807
SRR15376305,SAMN20475806
SRR15376306,SAMN20475806
SRR15376307,SAMN20475803
SRR15376308,SAMN20475803
SRR15458308,SAMN20702932
