SRR26596338,SAMN37961010
SRR26596339,SAMN37961011
SRR26596340,SAMN37961009
SRR26596341,SAMN37961008
SRR26596342,SAMN37961007
SRR26596343,SAMN37961037
SRR26596344,SAMN37961006
SRR26596345,SAMN37961019
SRR26596346,SAMN37961020
SRR26596347,SAMN37961021
SRR26596348,SAMN37961004
SRR26596349,SAMN37961022
SRR26596350,SAMN37961023
SRR26596351,SAMN37961024
SRR26596352,SAMN37961025
SRR26596353,SAMN37961005
SRR26596354,SAMN37961034
SRR26596355,SAMN37961014
SRR26596356,SAMN37961015
SRR26596357,SAMN37961016
SRR26596358,SAMN37961017
SRR26596359,SAMN37961018
SRR26596360,SAMN37961013
SRR26596361,SAMN37961012
SRR26596362,SAMN37961003
SRR26596363,SAMN37961002
SRR26715162,SAMN17899577
SRR26715163,SAMN17899577
SRR26715164,SAMN17899577
SRR26823014,SAMN38212222
SRR26823015,SAMN38212221
SRR26823016,SAMN38212220
SRR26823017,SAMN38212219
SRR26823018,SAMN38212218
SRR26823020,SAMN38212225
SRR26823021,SAMN38212224
SRR26823023,SAMN38212222
SRR26823024,SAMN38212216
SRR26823025,SAMN38212221
SRR26823026,SAMN38212220
SRR26823027,SAMN38212219
SRR26823028,SAMN38212218
SRR26823030,SAMN38212216
SRR26823031,SAMN38212215
SRR26823033,SAMN38212225
SRR26823034,SAMN38212224
SRR26823035,SAMN38212215
SRR26835935,SAMN38260472
SRR26835936,SAMN38260471
SRR26835937,SAMN38260469
SRR26835938,SAMN38260468
SRR26835939,SAMN38260467
SRR26835940,SAMN38260470
SRR26835941,SAMN38260466
SRR26835942,SAMN38260465
SRR26835943,SAMN38260480
SRR26835944,SAMN38260479
SRR26835945,SAMN38260477
SRR26835946,SAMN38260476
SRR26835947,SAMN38260475
SRR26835948,SAMN38260478
SRR26835949,SAMN38260474
SRR26835950,SAMN38260473
SRR26835951,SAMN38260464
SRR26835952,SAMN38260463
SRR26924136,SAMN38355141
SRR26924137,SAMN38355140
SRR26924138,SAMN38355139
SRR26924139,SAMN38355138
