SRR19917126,SAMN29470524
SRR19917127,SAMN29470434
SRR19917128,SAMN29470522
SRR19917129,SAMN29470520
SRR19917130,SAMN29470518
SRR19917131,SAMN29470516
SRR19917132,SAMN29470514
SRR19917133,SAMN29470512
SRR19917134,SAMN29470510
SRR19917135,SAMN29470508
SRR19917136,SAMN29470506
SRR19917137,SAMN29470504
SRR19917138,SAMN29470432
SRR19917139,SAMN29470502
SRR19917140,SAMN29470500
SRR19917141,SAMN29470498
SRR19917142,SAMN29470496
SRR19917143,SAMN29470494
SRR19917144,SAMN29470492
SRR19917145,SAMN29470490
SRR19917146,SAMN29470488
SRR19917147,SAMN29470486
SRR19917148,SAMN29470484
SRR19917149,SAMN29470430
SRR19917150,SAMN29470482
SRR19917151,SAMN29470480
SRR19917152,SAMN29470478
SRR19917153,SAMN29470476
SRR19917154,SAMN29470474
SRR19917155,SAMN29470472
SRR19917156,SAMN29470470
SRR19917157,SAMN29470468
SRR19917158,SAMN29470466
SRR19917159,SAMN29470464
SRR19917160,SAMN29470428
SRR19917161,SAMN29470462
SRR19917162,SAMN29470460
SRR19917163,SAMN29470458
SRR19917164,SAMN29470456
SRR19917165,SAMN29470454
SRR19917166,SAMN29470452
SRR19917167,SAMN29470450
SRR19917168,SAMN29470448
SRR19917169,SAMN29470446
SRR19917170,SAMN29470444
SRR19917171,SAMN29470426
SRR19917172,SAMN29470424
SRR20079131,SAMN29494553
SRR20079132,SAMN29494552
SRR20079133,SAMN29494551
SRR20079134,SAMN29494550
SRR20079135,SAMN29494549
SRR20079136,SAMN29494548
SRR20079137,SAMN29494547
SRR20079138,SAMN29494546
SRR20079139,SAMN29494555
SRR20079140,SAMN29494554
SRR20079141,SAMN29494545
SRR20079142,SAMN29494544
SRR20083725,SAMN29642328
SRR20083726,SAMN29642328
SRR20083727,SAMN29642328
SRR20083728,SAMN29642328
SRR203030,SAMN00264986
SRR203031,SAMN00264986
SRR203032,SAMN00264987
SRR203033,SAMN00264987
SRR203034,SAMN00264987
SRR203035,SAMN00264988
SRR203036,SAMN00264988
SRR203037,SAMN00264989
SRR203038,SAMN00264989
SRR203337,SAMN00265076
SRR203338,SAMN00265076
SRR203339,SAMN00265076
SRR203340,SAMN00265076
SRR203341,SAMN00265077
SRR203342,SAMN00265077
SRR203343,SAMN00265077
SRR203344,SAMN00265078
SRR203345,SAMN00265078
SRR203346,SAMN00265078
SRR203351,SAMN00265079
SRR203352,SAMN00265079
SRR203353,SAMN00265079
SRR203354,SAMN00265080
SRR203355,SAMN00265080
SRR203356,SAMN00265081
SRR203357,SAMN00265081
SRR203358,SAMN00265082
SRR203359,SAMN00265082
SRR203360,SAMN00265082
SRR203361,SAMN00265083
SRR203362,SAMN00265083
SRR203363,SAMN00265084
SRR203364,SAMN00265085
SRR203365,SAMN00265086
SRR203366,SAMN00265087
SRR203367,SAMN00265087
SRR203368,SAMN00265088
SRR203369,SAMN00265088
SRR2038186,SAMN03731185
SRR2038187,SAMN03731186
SRR2040167,SAMN03734636
SRR2040168,SAMN03734637
SRR2040169,SAMN03734637
SRR20480206,SAMN29914708
SRR20480207,SAMN29914707
SRR20480208,SAMN29914706
SRR20480209,SAMN29914705
SRR20480210,SAMN29914704
SRR20480211,SAMN29914746
SRR20480212,SAMN29914745
SRR20480213,SAMN29914744
SRR20480214,SAMN29914743
SRR20480215,SAMN29914742
SRR20480216,SAMN29914741
SRR20480217,SAMN29914740
SRR20480218,SAMN29914739
SRR20480219,SAMN29914703
SRR20480220,SAMN29914738
SRR20480221,SAMN29914737
SRR20480222,SAMN29914736
SRR20480223,SAMN29914735
SRR20480224,SAMN29914734
SRR20480225,SAMN29914733
SRR20480226,SAMN29914732
SRR20480227,SAMN29914731
SRR20480228,SAMN29914730
SRR20480229,SAMN29914729
SRR20480230,SAMN29914702
SRR20480231,SAMN29914728
SRR20480232,SAMN29914727
SRR20480233,SAMN29914726
SRR20480234,SAMN29914725
SRR20480235,SAMN29914724
SRR20480236,SAMN29914723
SRR20480237,SAMN29914722
SRR20480238,SAMN29914721
SRR20480239,SAMN29914720
SRR20480240,SAMN29914719
SRR20480241,SAMN29914701
SRR20480242,SAMN29914718
SRR20480243,SAMN29914717
SRR20480244,SAMN29914716
SRR20480245,SAMN29914715
SRR20480246,SAMN29914714
SRR20480247,SAMN29914713
SRR20480248,SAMN29914712
SRR20480249,SAMN29914711
SRR20480250,SAMN29914710
SRR20480251,SAMN29914709
SRR20480252,SAMN29914700
SRR20480253,SAMN29914699
SRR2048167,SAMN03755601
SRR2048168,SAMN03755602
SRR2048169,SAMN03755603
SRR2048170,SAMN03755604
SRR2048171,SAMN03755605
SRR2048172,SAMN03755606
SRR2048173,SAMN03755607
SRR2048174,SAMN03755608
SRR2048175,SAMN03755609
SRR2048176,SAMN03755610
SRR2048177,SAMN03755611
SRR2048178,SAMN03755612
SRR2048179,SAMN03755613
SRR2048180,SAMN03755614
SRR2048181,SAMN03755615
SRR2048182,SAMN03755616
SRR2048183,SAMN03755617
SRR2048184,SAMN03755618
SRR2048185,SAMN03755619
SRR2048186,SAMN03755620
SRR2048187,SAMN03755621
SRR2048188,SAMN03755622
SRR2048189,SAMN03755623
SRR2048190,SAMN03755624
SRR2048191,SAMN03755625
SRR2048192,SAMN03755626
SRR2048193,SAMN03755627
SRR2048194,SAMN03755628
SRR2048195,SAMN03755629
SRR2048196,SAMN03755630
SRR2048197,SAMN03755595
SRR2048198,SAMN03755596
SRR2048199,SAMN03755597
SRR2048200,SAMN03755598
SRR2048201,SAMN03755599
SRR2048202,SAMN03755600
SRR20504741,SAMN29911710
SRR20504742,SAMN29911708
SRR20504743,SAMN29911706
SRR20504744,SAMN29911704
SRR20504745,SAMN29911702
SRR20504746,SAMN29911786
SRR20504747,SAMN29911784
SRR20504748,SAMN29911782
SRR20504749,SAMN29911780
SRR20504750,SAMN29911778
SRR20504751,SAMN29911776
SRR20504752,SAMN29911774
SRR20504753,SAMN29911772
SRR20504754,SAMN29911700
SRR20504755,SAMN29911770
SRR20504756,SAMN29911768
SRR20504757,SAMN29911766
SRR20504758,SAMN29911764
SRR20504759,SAMN29911762
SRR20504760,SAMN29911760
SRR20504761,SAMN29911758
SRR20504762,SAMN29911756
SRR20504763,SAMN29911754
SRR20504764,SAMN29911752
SRR20504765,SAMN29911698
SRR20504766,SAMN29911750
SRR20504767,SAMN29911748
SRR20504768,SAMN29911746
SRR20504769,SAMN29911744
SRR20504770,SAMN29911742
SRR20504771,SAMN29911740
SRR20504772,SAMN29911738
SRR20504773,SAMN29911736
SRR20504774,SAMN29911734
SRR20504775,SAMN29911732
SRR20504776,SAMN29911696
SRR20504777,SAMN29911730
SRR20504778,SAMN29911728
SRR20504779,SAMN29911726
SRR20504780,SAMN29911724
SRR20504781,SAMN29911722
SRR20504782,SAMN29911720
SRR20504783,SAMN29911718
SRR20504784,SAMN29911716
SRR20504785,SAMN29911714
SRR20504786,SAMN29911712
SRR20504787,SAMN29911694
SRR20504788,SAMN29911692
SRR2051082,SAMN03761646
SRR2051083,SAMN03761647
SRR2051084,SAMN03761648
SRR2051085,SAMN03761649
SRR2051086,SAMN03761650
SRR2051087,SAMN03761651
SRR2051088,SAMN03761652
SRR2051089,SAMN03761653
SRR20677078,SAMN30003064
SRR20677079,SAMN30003064
SRR20677080,SAMN30003063
SRR20677081,SAMN30003063
SRR20677082,SAMN30003063
SRR20677083,SAMN30003063
SRR20677084,SAMN30003062
SRR20677085,SAMN30003067
SRR20677086,SAMN30003067
SRR20677087,SAMN30003067
SRR20677088,SAMN30003067
SRR20677089,SAMN30003062
SRR20677090,SAMN30003066
SRR20677091,SAMN30003066
SRR20677092,SAMN30003066
SRR20677093,SAMN30003066
SRR20677094,SAMN30003065
SRR20677095,SAMN30003065
SRR20677096,SAMN30003065
SRR20677097,SAMN30003065
SRR20677098,SAMN30003064
SRR20677099,SAMN30003064
SRR20677100,SAMN30003062
SRR20677101,SAMN30003062
SRR20725098,SAMN29993483
SRR20725099,SAMN29993482
SRR20725100,SAMN29993481
SRR20725101,SAMN29993480
SRR20725102,SAMN29993479
SRR20725103,SAMN29993478
SRR20725104,SAMN29993477
SRR20725105,SAMN29993476
SRR20725106,SAMN29993475
SRR20725107,SAMN29993474
SRR20725109,SAMN29993473
SRR20725110,SAMN29993472
SRR20725111,SAMN29993471
SRR20725112,SAMN29993470
SRR20725113,SAMN29993469
SRR20725114,SAMN29993498
SRR20725115,SAMN29993497
SRR20725116,SAMN29993496
SRR20725117,SAMN29993495
SRR20725118,SAMN29993493
SRR20725119,SAMN29993492
SRR20725120,SAMN29993491
SRR20725121,SAMN29993490
SRR20725122,SAMN29993489
