SRR10376342,SAMN13108101
SRR10382309,SAMN13108101
SRR10382315,SAMN13108101
SRR10382322,SAMN13108101
SRR10382323,SAMN13108101
SRR10382524,SAMN13108101
SRR10382525,SAMN13108101
SRR10382526,SAMN13108101
SRR10382527,SAMN13108101
SRR10382528,SAMN13108101
SRR10382529,SAMN13108101
SRR10382530,SAMN13108101
SRR10389832,SAMN13108101
SRR10389833,SAMN13108101
SRR10389834,SAMN13108101
SRR10389835,SAMN13108101
SRR10389836,SAMN13108101
SRR10389837,SAMN13108101
SRR10389838,SAMN13108101
SRR10389839,SAMN13108101
SRR10389840,SAMN13108101
SRR1049388,SAMN02380534
SRR10512153,SAMN13175302
SRR10512154,SAMN13175302
SRR10512155,SAMN13175301
SRR10512156,SAMN13175301
SRR10512157,SAMN13175301
SRR10512158,SAMN13175301
SRR10512159,SAMN13175301
SRR10512160,SAMN13175301
SRR10512161,SAMN13175302
SRR10512162,SAMN13175302
SRR10512163,SAMN13175302
SRR10512164,SAMN13175302
SRR10512165,SAMN13175302
SRR10512166,SAMN13175302
SRR10512167,SAMN13175301
SRR10512168,SAMN13175301
SRR10520209,SAMN13379533
SRR10520210,SAMN13379533
SRR10520211,SAMN13379533
SRR10520212,SAMN13379533
SRR10520213,SAMN13379533
SRR10520214,SAMN13379533
SRR10520215,SAMN13379533
SRR10520216,SAMN13379533
SRR10530611,SAMN13386940
SRR10530612,SAMN13386939
SRR10530613,SAMN13386938
SRR10530614,SAMN13386937
SRR10530615,SAMN13386936
SRR10530616,SAMN13386935
SRR10530617,SAMN13386934
SRR10530618,SAMN13386933
SRR10530619,SAMN13386942
SRR10530620,SAMN13386941
SRR10530621,SAMN13386932
SRR10530622,SAMN13386931
SRR10640786,SAMN13520095
SRR10640787,SAMN13520094
SRR10640788,SAMN13520093
SRR10640789,SAMN13520082
SRR10640790,SAMN13520081
SRR10640791,SAMN13520080
SRR10640792,SAMN13520079
SRR10640793,SAMN13520078
SRR10640794,SAMN13520077
SRR10640795,SAMN13520076
SRR10640796,SAMN13520075
SRR10640797,SAMN13520074
SRR10640798,SAMN13520073
SRR10640799,SAMN13520072
SRR10640800,SAMN13520071
SRR10640801,SAMN13520070
SRR10640802,SAMN13520069
SRR10640803,SAMN13520068
SRR10640804,SAMN13520067
SRR10640805,SAMN13520066
SRR10640806,SAMN13520065
SRR10640807,SAMN13520064
SRR10640808,SAMN13520063
SRR10640809,SAMN13520062
SRR10640810,SAMN13520061
SRR10640811,SAMN13520060
SRR10640812,SAMN13520059
SRR10640813,SAMN13520122
SRR10640814,SAMN13520121
SRR10640815,SAMN13520120
SRR10640816,SAMN13520119
SRR10640817,SAMN13520118
SRR10640818,SAMN13520117
SRR10640819,SAMN13520116
SRR10640820,SAMN13520115
SRR10640821,SAMN13520114
SRR10640822,SAMN13520113
SRR10640823,SAMN13520112
SRR10640824,SAMN13520111
SRR10640825,SAMN13520110
SRR10640826,SAMN13520109
SRR10640827,SAMN13520108
SRR10640828,SAMN13520107
SRR10640829,SAMN13520106
SRR10640830,SAMN13520105
SRR10640831,SAMN13520104
SRR10640832,SAMN13520103
SRR10640833,SAMN13520102
SRR10640834,SAMN13520101
SRR10640835,SAMN13520100
SRR10640836,SAMN13520099
SRR10640837,SAMN13520098
SRR10640838,SAMN13520097
SRR10640839,SAMN13520096
SRR10717565,SAMN13611594
SRR10842036,SAMN13746643
SRR10842037,SAMN13746642
SRR10842038,SAMN13746641
SRR10842039,SAMN13746677
SRR10842040,SAMN13746676
SRR10842041,SAMN13746675
SRR10842042,SAMN13746674
SRR10842043,SAMN13746673
SRR10842044,SAMN13746672
SRR10842045,SAMN13746671
SRR10842046,SAMN13746670
SRR10842047,SAMN13746669
SRR10842048,SAMN13746668
SRR10842049,SAMN13746667
SRR10842050,SAMN13746666
SRR10842051,SAMN13746665
SRR10842052,SAMN13746664
SRR10842053,SAMN13746651
SRR10842054,SAMN13746649
SRR10842055,SAMN13746648
SRR10842056,SAMN13746663
SRR10842057,SAMN13746662
SRR10842058,SAMN13746654
SRR10842059,SAMN13746653
SRR10842060,SAMN13746652
SRR10842061,SAMN13746647
SRR10842062,SAMN13746646
SRR10842063,SAMN13746645
SRR10842064,SAMN13746644
SRR10842065,SAMN13746565
SRR10842066,SAMN13746564
SRR10842067,SAMN13746640
SRR10842069,SAMN13746639
SRR10842070,SAMN13746638
SRR10842071,SAMN13746637
SRR10842072,SAMN13746636
SRR10842073,SAMN13746635
SRR10842074,SAMN13746634
SRR10842075,SAMN13746633
SRR10842076,SAMN13746632
