SRR6669437,SAMN08463893
SRR6669438,SAMN08463894
SRR6669439,SAMN08463891
SRR6669440,SAMN08463892
SRR6669441,SAMN08463889
SRR6669442,SAMN08463890
SRR6669443,SAMN08463869
SRR6669444,SAMN08463870
SRR6669445,SAMN08463871
SRR6669446,SAMN08463872
SRR6669447,SAMN08463873
SRR6669448,SAMN08463874
SRR6669449,SAMN08463875
SRR6669450,SAMN08463876
SRR6669451,SAMN08463877
SRR6669452,SAMN08463878
SRR6669453,SAMN08463863
SRR6669454,SAMN08463864
SRR6669455,SAMN08463865
SRR6669456,SAMN08463866
SRR6669457,SAMN08463859
SRR6669458,SAMN08463860
SRR6669459,SAMN08463861
SRR6669460,SAMN08463862
SRR6669461,SAMN08463867
SRR6669462,SAMN08463868
SRR6669463,SAMN08463888
SRR6669464,SAMN08463887
SRR6669465,SAMN08463884
SRR6669466,SAMN08463883
SRR6669467,SAMN08463886
SRR6669468,SAMN08463885
SRR6669469,SAMN08463880
SRR6669470,SAMN08463879
SRR6669471,SAMN08463882
SRR6669472,SAMN08463881
SRR6675511,SAMN08469974
SRR6675512,SAMN08469975
SRR6675513,SAMN08469976
SRR6675514,SAMN08469977
SRR6756971,SAMN08565567
SRR6756972,SAMN08565566
SRR6756973,SAMN08565566
SRR6756974,SAMN08565566
SRR6756975,SAMN08565567
SRR6756976,SAMN08565567
SRR6796971,SAMN08606022
SRR6796972,SAMN08606021
SRR6797123,SAMN08628722
SRR6797124,SAMN08628723
SRR6797125,SAMN08628720
SRR6797126,SAMN08628721
SRR6802829,SAMN08633985
SRR6804651,SAMN08634308
SRR6805032,SAMN08634679
SRR6808244,SAMN08637756
SRR6831048,SAMN08707420
SRR6831049,SAMN08707419
SRR6831050,SAMN08707418
SRR6831051,SAMN08707417
SRR6831052,SAMN08707416
SRR6831053,SAMN08707415
SRR6831054,SAMN08707414
SRR6831055,SAMN08707413
SRR6846958,SAMN07430305
SRR6846959,SAMN07430306
SRR6846960,SAMN07430297
SRR6846961,SAMN07430298
SRR6846962,SAMN07430299
SRR6846963,SAMN07430300
SRR6853263,SAMN04364228
SRR6853264,SAMN04364229
SRR6853265,SAMN04364223
SRR6853266,SAMN04364224
SRR6853267,SAMN04362176
SRR6853268,SAMN04364218
SRR6853269,SAMN04364219
SRR6853270,SAMN04364220
SRR6853271,SAMN04364222
SRR6853272,SAMN04364225
SRR6853273,SAMN04364226
SRR6853274,SAMN04364221
SRR6924895,SAMN08828773
SRR6924896,SAMN08828772
SRR6924897,SAMN08828771
SRR6924898,SAMN08828770
SRR6924899,SAMN08828769
SRR6924900,SAMN08828780
SRR6924901,SAMN08828779
SRR6924902,SAMN08828778
SRR6924903,SAMN08828777
SRR6924904,SAMN08828776
SRR6924905,SAMN08828775
SRR6924906,SAMN08828774
SRR6967108,SAMN08903396
SRR6967109,SAMN08903397
